Age,Attrition,Attrition_num,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime
41,Yes,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,Female,Sales Executive,4,Single,5993,Yes
49,No,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,Male,Research Scientist,2,Married,5130,No
37,Yes,1,Travel_Rarely,1373,Research & Development,2,2,Other,Male,Laboratory Technician,3,Single,2090,Yes
33,No,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,Female,Research Scientist,3,Married,2909,Yes
27,No,0,Travel_Rarely,591,Research & Development,2,1,Medical,Male,Laboratory Technician,2,Married,3468,No
32,No,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,4,Single,3068,No
59,No,0,Travel_Rarely,1324,Research & Development,3,3,Medical,Female,Laboratory Technician,1,Married,2670,Yes
30,No,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,Male,Laboratory Technician,3,Divorced,2693,No
38,No,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,Male,Manufacturing Director,3,Single,9526,No
36,No,0,Travel_Rarely,1299,Research & Development,27,3,Medical,Male,Healthcare Representative,3,Married,5237,No
35,No,0,Travel_Rarely,809,Research & Development,16,3,Medical,Male,Laboratory Technician,2,Married,2426,No
29,No,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,Female,Laboratory Technician,3,Single,4193,Yes
31,No,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,Male,Research Scientist,3,Divorced,2911,No
34,No,0,Travel_Rarely,1346,Research & Development,19,2,Medical,Male,Laboratory Technician,4,Divorced,2661,No
28,Yes,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,3,Single,2028,Yes
29,No,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,No
32,No,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,Male,Research Scientist,2,Divorced,3298,Yes
22,No,0,Non-Travel,1123,Research & Development,16,2,Medical,Male,Laboratory Technician,4,Divorced,2935,Yes
53,No,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,Female,Manager,4,Married,15427,No
38,No,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,3944,Yes
24,No,0,Non-Travel,673,Research & Development,11,2,Other,Female,Manufacturing Director,3,Divorced,4011,No
36,Yes,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,Male,Sales Representative,1,Single,3407,No
34,No,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,Female,Research Director,2,Single,11994,No
21,No,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,Male,Research Scientist,4,Single,1232,No
34,Yes,1,Travel_Rarely,699,Research & Development,6,1,Medical,Male,Research Scientist,1,Single,2960,No
53,No,0,Travel_Rarely,1282,Research & Development,5,3,Other,Female,Manager,3,Divorced,19094,No
32,Yes,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,Female,Research Scientist,1,Single,3919,Yes
42,No,0,Travel_Rarely,691,Sales,8,4,Marketing,Male,Sales Executive,2,Married,6825,No
44,No,0,Travel_Rarely,477,Research & Development,7,4,Medical,Female,Healthcare Representative,4,Married,10248,No
46,No,0,Travel_Rarely,705,Sales,2,4,Marketing,Female,Manager,1,Single,18947,No
33,No,0,Travel_Rarely,924,Research & Development,2,3,Medical,Male,Laboratory Technician,4,Single,2496,No
44,No,0,Travel_Rarely,1459,Research & Development,10,4,Other,Male,Healthcare Representative,4,Married,6465,Yes
